
年月日,平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),平均風速(m/s),平均風速(m/s),平均蒸気圧(hPa),平均蒸気圧(hPa)
2022/4/1,5.7,8,0.0,0,8,4.7,0,8,5.2,8,4.1,8
2022/4/2,5.4,8,0,1,8,12.0,0,8,3.8,8,4.7,8
2022/4/3,7.3,8,0,1,8,10.5,0,8,2.7,8,6.7,8
2022/4/4,9.1,8,13.0,0,8,0.0,0,8,2.9,8,10.3,8
2022/4/5,9.6,8,1.0,0,8,1.2,0,8,3.3,8,10.2,8
2022/4/6,12.1,8,0,1,8,6.9,0,8,2.8,8,8.8,8
2022/4/7,7.4,8,2.0,0,8,5.0,0,8,3.6,8,6.6,8
2022/4/8,9.4,8,1.5,0,8,12.0,0,8,5.0,8,6.5,8
2022/4/9,11.9,8,0,1,8,12.2,0,8,2.2,8,9.4,8
2022/4/10,16.6,8,0,1,8,11.4,0,8,2.2,8,10.1,8
2022/4/11,17.0,8,0,1,8,10.4,0,8,2.3,8,12.0,8
2022/4/12,17.8,8,0,1,8,11.8,0,8,2.6,8,12.4,8
2022/4/13,17.0,8,0,1,8,8.7,0,8,2.5,8,12.2,8
2022/4/14,7.8,8,14.0,0,8,0.0,0,8,2.7,8,9.7,8
2022/4/15,7.2,8,17.5,0,8,0.0,0,8,2.1,8,9.6,8
2022/4/16,7.2,8,4.0,0,8,4.4,0,8,3.8,8,8.5,8
2022/4/17,9.0,8,0,1,8,12.7,0,8,2.8,8,6.9,8
2022/4/18,12.0,8,0.0,0,8,7.9,0,8,3.2,8,10.7,8
2022/4/19,10.8,8,0,1,8,11.6,0,8,3.3,8,9.2,8
2022/4/20,9.5,8,0,1,8,12.3,0,8,2.4,8,8.2,8
2022/4/21,14.2,8,0.0,0,8,10.8,0,8,2.9,8,12.9,8
2022/4/22,17.5,8,6.5,0,8,7.1,0,8,3.3,8,13.9,8
2022/4/23,16.9,8,0.0,0,8,3.9,0,8,3.9,8,10.0,8
2022/4/24,12.7,8,0,1,8,5.6,0,8,2.0,8,9.3,8
2022/4/25,17.7,8,0,1,8,9.4,0,8,2.7,8,13.5,8
2022/4/26,16.8,8,2.5,0,8,0.3,0,8,1.8,8,17.7,8
2022/4/27,17.8,8,0.0,0,8,3.9,0,8,4.5,8,13.0,8
2022/4/28,13.3,8,0,1,8,12.7,0,8,3.5,8,6.5,8
2022/4/29,8.2,8,29.5,0,8,1.1,0,8,4.1,8,7.0,8
2022/4/30,9.9,8,2.5,0,8,11.3,0,8,4.2,8,7.0,8
2022/5/1,9.8,8,15.0,0,8,0.0,0,8,2.4,8,9.7,8
2022/5/2,11.8,8,0,1,8,7.8,0,8,3.2,8,7.6,8
2022/5/3,12.3,8,0.0,0,8,10.8,0,8,3.6,8,6.8,8
2022/5/4,17.8,8,0,1,8,12.8,0,8,3.7,8,8.6,8
2022/5/5,17.4,8,0,1,8,12.8,0,8,2.6,8,10.9,8
2022/5/6,17.4,8,0,1,8,13.0,0,8,3.4,8,14.1,8
2022/5/7,17.9,8,0.0,0,8,10.4,0,8,4.9,8,15.7,8
2022/5/8,15.1,8,0,1,8,7.3,0,8,5.2,8,6.5,8
2022/5/9,14.0,8,0,1,8,3.2,0,8,2.7,8,8.4,8
2022/5/10,14.0,8,0,1,8,13.5,0,8,2.6,8,8.5,8
2022/5/11,14.0,8,0.0,0,8,5.1,0,8,2.5,8,12.1,8
2022/5/12,16.9,8,0,1,8,4.9,0,8,2.0,8,16.2,8
2022/5/13,17.3,8,7.0,0,8,0.0,0,8,2.6,8,18.8,8
2022/5/14,18.2,8,5.0,0,8,3.1,0,8,3.4,8,16.0,8
2022/5/15,15.9,8,0,1,8,4.4,0,8,2.6,8,9.5,8
2022/5/16,13.3,8,0.0,0,8,0.0,0,8,2.1,8,10.7,8
2022/5/17,14.7,8,0.0,0,8,0.4,0,8,2.1,8,13.7,8
2022/5/18,16.4,8,0,1,8,13.6,0,8,2.7,8,11.8,8
2022/5/19,17.9,8,0.0,0,8,10.6,0,8,2.4,8,13.3,8
2022/5/20,21.2,8,0,1,8,9.4,0,8,2.4,8,12.4,8
2022/5/21,19.4,8,0,1,8,5.0,0,8,3.0,8,15.4,8
2022/5/22,16.5,8,3.0,0,8,0.1,0,8,2.1,8,15.8,8
2022/5/23,15.9,8,1.5,0,8,3.1,0,8,1.8,8,14.3,8
2022/5/24,18.3,8,0,1,8,13.2,0,8,2.9,8,14.5,8
2022/5/25,18.3,8,0,1,8,8.6,0,8,2.9,8,17.3,8
2022/5/26,20.0,8,0,1,8,10.4,0,8,4.6,8,18.8,8
2022/5/27,17.6,8,48.5,0,8,3.2,0,8,4.5,8,18.5,8
2022/5/28,19.4,8,0.0,0,8,10.3,0,8,3.6,8,12.5,8
2022/5/29,22.3,8,0,1,8,13.5,0,8,3.1,8,14.8,8
2022/5/30,15.9,8,0,1,8,8.8,0,8,4.6,8,13.1,8
2022/5/31,14.3,8,11.5,0,8,0.0,0,8,2.1,8,15.5,8
2022/6/1,18.8,8,0.0,0,8,7.8,0,8,2.6,5,13.7,8
2022/6/2,18.2,8,3.5,0,8,6.7,0,8,2.6,8,16.3,8
2022/6/3,15.3,8,11.0,0,8,0.5,0,8,2.4,8,16.2,8
2022/6/4,17.0,8,0.0,0,8,12.2,0,8,3.1,8,13.6,8
2022/6/5,15.5,8,0,1,8,9.1,0,8,3.3,8,12.0,8
2022/6/6,13.1,8,82.5,0,8,0.0,0,8,4.0,8,13.9,8
2022/6/7,13.9,8,42.5,0,8,0.0,0,8,3.9,8,14.5,8
2022/6/8,12.6,8,1.0,0,8,0.0,0,8,2.2,8,13.2,8
2022/6/9,14.8,8,0.0,0,8,2.3,0,8,1.8,8,13.8,8
2022/6/10,16.3,8,0.0,0,8,0.4,0,8,1.5,8,16.0,8
2022/6/11,18.4,8,0.0,0,8,3.8,0,8,1.9,8,18.5,8
2022/6/12,17.9,8,17.0,0,8,2.9,0,8,2.6,8,17.4,8
2022/6/13,17.1,8,0,1,8,13.6,0,8,4.1,8,12.6,8
2022/6/14,15.2,8,0,1,8,1.7,0,8,3.1,8,12.4,8
2022/6/15,16.5,8,0.0,0,8,0.0,0,8,2.7,8,16.1,8
2022/6/16,20.6,8,2.5,0,8,7.2,0,8,2.0,8,19.5,8
2022/6/17,22.5,8,0.5,0,8,6.2,0,8,2.3,8,18.7,8
2022/6/18,22.6,8,0,1,8,9.2,0,8,2.0,8,20.0,8
2022/6/19,24.0,8,0.0,0,8,9.6,0,8,2.2,8,22.6,8
2022/6/20,25.9,8,0,1,8,12.9,0,8,2.5,8,21.4,8
2022/6/21,21.5,8,0,1,8,10.5,0,8,3.0,8,19.0,8
